Month,Accidents
2012-07,16991
2012-08,17141
2012-09,16534
2012-10,16863
2012-11,15889
2012-12,17123
2013-01,15643
2013-02,14399
2013-03,16509
2013-04,16439
2013-05,18486
2013-06,18204
2013-07,17579
2013-08,16757
2013-09,16955
2013-10,17713
2013-11,17771
2013-12,17280
2014-01,16674
2014-02,15738
2014-03,15861
2014-04,16371
2014-05,18276
2014-06,18410
2014-07,17458
2014-08,17093
2014-09,17828
2014-10,18086
2014-11,16983
2014-12,17255
2015-01,16127
2015-02,15713
2015-03,17955
2015-04,16793
2015-05,19273
2015-06,18825
2015-07,18770
2015-08,18980
2015-09,18514
2015-10,19849
2015-11,18022
2015-12,18873
2016-01,18097
2016-02,15987
2016-03,18781
2016-04,18576
2016-05,20185
2016-06,20711
2016-07,19969
2016-08,19699
2016-09,19512
2016-10,19677
2016-11,19388
2016-12,19246
2017-01,17549
2017-02,15835
2017-03,19336
2017-04,17829
2017-05,21013
2017-06,21373
2017-07,19593
2017-08,19137
2017-09,19604
2017-10,20360
2017-11,19661
2017-12,19717
2018-01,18124
2018-02,15988
2018-03,19273
2018-04,18195
2018-05,20842
2018-06,20796
2018-07,19707
2018-08,19641
2018-09,19237
2018-10,20820
2018-11,19436
2018-12,19501
2019-01,16928
2019-02,16067
2019-03,17760
2019-04,16828
2019-05,19588
2019-06,19515
2019-07,18419
2019-08,17212
2019-09,17540
2019-10,17609
2019-11,16950
2019-12,17056
2020-01,14276
2020-02,13671
2020-03,11021
2020-04,4059
2020-05,1244
